GEOID,NAME,total,owner,renter,pct_renting,pct_owner
36068,Assembly District 68 (2022); New York,59728,6981,52747,88.31201446557728,11.687985534422717
36069,Assembly District 69 (2022); New York,60165,17909,42256,70.23352447436217,29.76647552563783
36070,Assembly District 70 (2022); New York,61627,9290,52337,84.9254385253217,15.074561474678307
36071,Assembly District 71 (2022); New York,55708,9029,46679,83.7922740001436,16.207725999856393
36072,Assembly District 72 (2022); New York,49127,3881,45246,92.10006717283775,7.899932827162253
36073,Assembly District 73 (2022); New York,68227,30409,37818,55.42966860627025,44.57033139372975
36074,Assembly District 74 (2022); New York,67528,15240,52288,77.43158393555267,22.56841606444734
36075,Assembly District 75 (2022); New York,72251,17526,54725,75.74289629209284,24.257103707907156
36076,Assembly District 76 (2022); New York,69344,21973,47371,68.31304799261652,31.68695200738348
36077,Assembly District 77 (2022); New York,48443,3101,45342,93.5986623454369,6.401337654563095
36078,Assembly District 78 (2022); New York,48882,4024,44858,91.76793093572276,8.232069064277239
36079,Assembly District 79 (2022); New York,50023,4367,45656,91.27001579273534,8.729984207264659
36080,Assembly District 80 (2022); New York,48519,11602,36917,76.08771821348338,23.912281786516623
36081,Assembly District 81 (2022); New York,51425,19344,32081,62.38405444822557,37.61594555177443
36082,Assembly District 82 (2022); New York,49707,22963,26744,53.80328726336331,46.19671273663669
36083,Assembly District 83 (2022); New York,46748,19260,27488,58.80037648669462,41.19962351330538
36084,Assembly District 84 (2022); New York,48758,3640,45118,92.53455843143689,7.465441568563108
36085,Assembly District 85 (2022); New York,46444,7390,39054,84.08836448195676,15.911635518043235
36086,Assembly District 86 (2022); New York,47590,2212,45378,95.35196469846606,4.648035301533936
36087,Assembly District 87 (2022); New York,43528,9536,33992,78.09226245175519,21.907737548244807
36088,Assembly District 88 (2022); New York,48836,36385,12451,25.495536079941026,74.50446392005897
36089,Assembly District 89 (2022); New York,54922,20415,34507,62.82910309165726,37.17089690834274
36090,Assembly District 90 (2022); New York,51417,27922,23495,45.69500359803178,54.30499640196822
36091,Assembly District 91 (2022); New York,51830,27928,23902,46.11614894848543,53.88385105151457
36092,Assembly District 92 (2022); New York,51957,37170,14787,28.46007275246839,71.53992724753161
36093,Assembly District 93 (2022); New York,50281,35086,15195,30.22016268570633,69.77983731429367
36094,Assembly District 94 (2022); New York,47746,40755,6991,14.64206425669166,85.35793574330835
36095,Assembly District 95 (2022); New York,48321,33738,14583,30.17942509467933,69.82057490532067
36096,Assembly District 96 (2022); New York,45913,33676,12237,26.652582057369372,73.34741794263063
36097,Assembly District 97 (2022); New York,36460,20839,15621,42.84421283598464,57.15578716401536
36098,Assembly District 98 (2022); New York,46358,35502,10856,23.417748824366885,76.58225117563312
36099,Assembly District 99 (2022); New York,40669,27387,13282,32.658781873171215,67.34121812682879
36100,Assembly District 100 (2022); New York,50294,32521,17773,35.33821131745337,64.66178868254663
36101,Assembly District 101 (2022); New York,47770,37066,10704,22.40736864140674,77.59263135859327
36102,Assembly District 102 (2022); New York,54314,42816,11498,21.169495894244577,78.83050410575542
36103,Assembly District 103 (2022); New York,54719,37419,17300,31.61607485516914,68.38392514483087
36104,Assembly District 104 (2022); New York,53971,30606,23365,43.291767801226584,56.708232198773416
36105,Assembly District 105 (2022); New York,50071,37862,12209,24.383375606638573,75.61662439336142
36106,Assembly District 106 (2022); New York,56130,40660,15470,27.56101906288972,72.43898093711027
36107,Assembly District 107 (2022); New York,52236,41899,10337,19.789034382418254,80.21096561758175
36108,Assembly District 108 (2022); New York,56396,26915,29481,52.274984041421376,47.725015958578624
36109,Assembly District 109 (2022); New York,57421,25220,32201,56.07878650667874,43.92121349332126
36110,Assembly District 110 (2022); New York,52529,38145,14384,27.382969407374972,72.61703059262503
36111,Assembly District 111 (2022); New York,54704,31757,22947,41.9475723895876,58.0524276104124
36112,Assembly District 112 (2022); New York,53497,41744,11753,21.969456231190534,78.03054376880947
36113,Assembly District 113 (2022); New York,60589,39274,21315,35.17965307233986,64.82034692766014
36114,Assembly District 114 (2022); New York,56079,43870,12209,21.77107295065889,78.22892704934111
36115,Assembly District 115 (2022); New York,58109,40826,17283,29.74238069834277,70.25761930165723
36116,Assembly District 116 (2022); New York,54897,34866,20031,36.488332695775725,63.511667304224275
36117,Assembly District 117 (2022); New York,52376,35793,16583,31.661447991446465,68.33855200855353
36118,Assembly District 118 (2022); New York,57241,42475,14766,25.796195035027342,74.20380496497266
36119,Assembly District 119 (2022); New York,52175,30619,21556,41.314805941542886,58.685194058457114
36120,Assembly District 120 (2022); New York,53541,40202,13339,24.9136176014643,75.0863823985357
36121,Assembly District 121 (2022); New York,56366,44252,12114,21.49167938118724,78.50832061881276
36122,Assembly District 122 (2022); New York,55852,41913,13939,24.95702929169949,75.04297070830052
36123,Assembly District 123 (2022); New York,55345,30961,24384,44.05818050411058,55.94181949588942
36124,Assembly District 124 (2022); New York,56185,40993,15192,27.039245350182433,72.96075464981757
36125,Assembly District 125 (2022); New York,55204,30264,24940,45.17788566045939,54.82211433954061
36126,Assembly District 126 (2022); New York,55902,42243,13659,24.433830632177738,75.56616936782225
36127,Assembly District 127 (2022); New York,54087,41561,12526,23.158984598886978,76.84101540111303
36128,Assembly District 128 (2022); New York,51775,32241,19534,37.72863351038146,62.27136648961854
36129,Assembly District 129 (2022); New York,55529,26877,28652,51.59826397017775,48.40173602982225
36130,Assembly District 130 (2022); New York,58207,44655,13552,23.282423076262305,76.7175769237377
36131,Assembly District 131 (2022); New York,55211,40121,15090,27.331510025176144,72.66848997482386
36132,Assembly District 132 (2022); New York,56601,42364,14237,25.15326584335966,74.84673415664034
36133,Assembly District 133 (2022); New York,53722,42006,11716,21.808570045791296,78.1914299542087
36134,Assembly District 134 (2022); New York,54631,40155,14476,26.497775987992167,73.50222401200783
36135,Assembly District 135 (2022); New York,53116,42692,10424,19.62497175992168,80.37502824007832
36136,Assembly District 136 (2022); New York,61249,38250,22999,37.55000081633986,62.44999918366014
36137,Assembly District 137 (2022); New York,54079,23252,30827,57.003642818839104,42.996357181160896
36138,Assembly District 138 (2022); New York,58937,32026,26911,45.66062066274157,54.33937933725843
36139,Assembly District 139 (2022); New York,55841,41815,14026,25.117745026056124,74.88225497394387
36140,Assembly District 140 (2022); New York,60491,39389,21102,34.88452827693376,65.11547172306624
36141,Assembly District 141 (2022); New York,54389,22925,31464,57.8499328908419,42.1500671091581
36142,Assembly District 142 (2022); New York,57648,38421,19227,33.35241465445462,66.64758534554538
36143,Assembly District 143 (2022); New York,57234,40681,16553,28.92162001607436,71.07837998392564
36144,Assembly District 144 (2022); New York,55689,44386,11303,20.29664745281833,79.70335254718167
36145,Assembly District 145 (2022); New York,58360,41070,17290,29.626456477039067,70.37354352296093
36146,Assembly District 146 (2022); New York,52820,36961,15859,30.02461188943582,69.97538811056418
36147,Assembly District 147 (2022); New York,56235,46032,10203,18.14350493464924,81.85649506535076
36148,Assembly District 148 (2022); New York,51628,39650,11978,23.200588827767877,76.79941117223213
36149,Assembly District 149 (2022); New York,56891,30018,26873,47.2359424161994,52.7640575838006
36150,Assembly District 150 (2022); New York,54291,37545,16746,30.84489141846715,69.15510858153286
