year,state_abbr,state_name,state_fips,region,division,total_pop_15to64,female_pop_15to64,male_pop_15to64,total_prison_pop,female_prison_pop,male_prison_pop
2024,AK,Alaska,2,West,Pacific,484376,224281,260095,4444,,
2023,AK,Alaska,2,West,Pacific,484376,224281,260095,4487,,
2022,AK,Alaska,2,West,Pacific,484376,224281,260095,1505,75,1430
2021,AK,Alaska,2,West,Pacific,486916,225591,261325,1563,85,1478
2020,AK,Alaska,2,West,Pacific,488623,226819,261804,1794,99,1695
2019,AK,Alaska,2,West,Pacific,493016,229285,263731,1782,82,1700
2018,AK,Alaska,2,West,Pacific,497876,231938,265938,1939,87,1852
2017,AK,Alaska,2,West,Pacific,504320,235002,269318,1905,77,1828
2016,AK,Alaska,2,West,Pacific,509054,237107,271947,2089,107,1982
2015,AK,Alaska,2,West,Pacific,509561,237503,272058,2261,175,2086
2014,AK,Alaska,2,West,Pacific,511361,238826,272535,2075,154,1921
2013,AK,Alaska,2,West,Pacific,514236,240845,273391,2682,256,2426
2012,AK,Alaska,2,West,Pacific,511293,240956,270337,2974,284,2690
2011,AK,Alaska,2,West,Pacific,506977,239948,267029,2894,278,2616
2010,AK,Alaska,2,West,Pacific,502071,237799,264272,2775,266,2509
2009,AK,Alaska,2,West,Pacific,491977,235316,256661,2508,192,2316
2008,AK,Alaska,2,West,Pacific,486999,230755,256244,2966,262,2704
2007,AK,Alaska,2,West,Pacific,482770,229775,252995,3072,272,2800
2006,AK,Alaska,2,West,Pacific,478954,228243,250711,3116,242,2874
2005,AK,Alaska,2,West,Pacific,471987,224565,247422,2781,184,2597
2004,AK,Alaska,2,West,Pacific,464433,221252,243181,2632,174,2458
2003,AK,Alaska,2,West,Pacific,454718,217161,237557,2629,173,2456
2002,AK,Alaska,2,West,Pacific,448637,213576,235061,2577,149,2428
2001,AK,Alaska,2,West,Pacific,440734,209967,230767,2196,123,2073
2000,AK,Alaska,2,West,Pacific,434029,207095,226934,2128,97,2031
1999,AK,Alaska,2,West,Pacific,431541,205638,225903,2325,133,2192
1998,AK,Alaska,2,West,Pacific,426484,202841,223643,2541,158,2383
1997,AK,Alaska,2,West,Pacific,423682,201316,222366,2571,156,2415
1996,AK,Alaska,2,West,Pacific,421942,199891,222051,2335,139,2196
1995,AK,Alaska,2,West,Pacific,418039,197422,220617,2042,115,1927
1994,AK,Alaska,2,West,Pacific,415063,194499,220564,1934,106,1828
1993,AK,Alaska,2,West,Pacific,411623,192021,219602,2703,122,2581
1992,AK,Alaska,2,West,Pacific,403693,187998,215695,1944,84,1860
1991,AK,Alaska,2,West,Pacific,387962,180826,207136,1840,62,1778
1990,AK,Alaska,2,West,Pacific,376499,175049,201450,1851,79,1772
1989,AK,Alaska,2,West,Pacific,375568,174598,200970,1908,94,1814
1988,AK,Alaska,2,West,Pacific,371745,173051,198694,1862,66,1796
1987,AK,Alaska,2,West,Pacific,368395,171652,196743,1767,79,1688
1986,AK,Alaska,2,West,Pacific,375494,175205,200289,1666,69,1597
1985,AK,Alaska,2,West,Pacific,369512,172830,196682,1530,54,1476
1984,AK,Alaska,2,West,Pacific,359414,167988,191426,1293,42,1251
1983,AK,Alaska,2,West,Pacific,343702,160510,183192,1072,39,1033
1982,AK,Alaska,2,West,Pacific,316614,147176,169438,872,29,843
1981,AK,Alaska,2,West,Pacific,293883,136237,157646,713,29,684
1980,AK,Alaska,2,West,Pacific,284153,131483,152670,571,9,562
1979,AK,Alaska,2,West,Pacific,281963,130432,151531,532,21,511
1978,AK,Alaska,2,West,Pacific,279031,129270,149761,490,22,468
1977,AK,Alaska,2,West,Pacific,273639,126127,147512,577,,
1976,AK,Alaska,2,West,Pacific,267616,123658,143958,230,,
1975,AK,Alaska,2,West,Pacific,249519,114693,134826,209,,
1974,AK,Alaska,2,West,Pacific,229672,104377,125295,183,,
1973,AK,Alaska,2,West,Pacific,219636,99045,120591,174,,
1972,AK,Alaska,2,West,Pacific,212861,95131,117730,183,,
1971,AK,Alaska,2,West,Pacific,203900,90074,113826,191,,
1970,AK,Alaska,2,West,Pacific,194885,85072,109813,1001,,
1969,AK,Alaska,2,West,Pacific,185870,80070,105800,937,,
1968,AK,Alaska,2,West,Pacific,,,,950,,
1967,AK,Alaska,2,West,Pacific,,,,971,,
1966,AK,Alaska,2,West,Pacific,,,,4056,,
1965,AK,Alaska,2,West,Pacific,,,,4377,,
1964,AK,Alaska,2,West,Pacific,,,,4586,,
1963,AK,Alaska,2,West,Pacific,,,,5083,,
1962,AK,Alaska,2,West,Pacific,,,,5512,,
1961,AK,Alaska,2,West,Pacific,,,,5540,,
1960,AK,Alaska,2,West,Pacific,,,,5369,,
1955,AK,Alaska,2,West,Pacific,,,,5222,,
1950,AK,Alaska,2,West,Pacific,,,,4454,,
2024,AL,Alabama,1,South,East South Central,3245544,1646071,1599473,27208,,
2023,AL,Alabama,1,South,East South Central,3245544,1646071,1599473,26898,,
2022,AL,Alabama,1,South,East South Central,3245544,1646071,1599473,26421,2368,24053
2021,AL,Alabama,1,South,East South Central,3241339,1643899,1597440,25032,2117,22915
2020,AL,Alabama,1,South,East South Central,3237450,1640766,1596684,25328,2162,23166
2019,AL,Alabama,1,South,East South Central,3233090,1638535,1594555,28304,2749,25555
2018,AL,Alabama,1,South,East South Central,3231340,1638987,1592353,26841,2402,24439
2017,AL,Alabama,1,South,East South Central,3230476,1638888,1591588,27608,2473,25135
2016,AL,Alabama,1,South,East South Central,3230773,1638610,1592163,28883,2377,26506
2015,AL,Alabama,1,South,East South Central,3228199,1637943,1590256,30810,2590,28220
2014,AL,Alabama,1,South,East South Central,3224073,1637254,1586819,31771,2589,29182
2013,AL,Alabama,1,South,East South Central,3220902,1636769,1584133,32381,2721,29660
2012,AL,Alabama,1,South,East South Central,3212885,1634336,1578549,32431,2649,29782
2011,AL,Alabama,1,South,East South Central,3209129,1633434,1575695,32270,2574,29696
2010,AL,Alabama,1,South,East South Central,3195193,1626165,1569028,31764,2503,29261
2009,AL,Alabama,1,South,East South Central,3176549,1616434,1560115,31874,2455,29419
2008,AL,Alabama,1,South,East South Central,3150235,1604545,1545690,30508,2231,28277
2007,AL,Alabama,1,South,East South Central,3124050,1591318,1532732,29412,2158,27254
2006,AL,Alabama,1,South,East South Central,3093231,1575310,1517921,28241,2050,26191
2005,AL,Alabama,1,South,East South Central,3047252,1552063,1495189,27888,1965,25923
2004,AL,Alabama,1,South,East South Central,3017151,1537026,1480125,25887,1748,24139
2003,AL,Alabama,1,South,East South Central,2992125,1523748,1468377,27913,2003,25910
2002,AL,Alabama,1,South,East South Central,2970798,1514451,1456347,27947,1697,26250
2001,AL,Alabama,1,South,East South Central,2956038,1507880,1448158,26741,1783,24958
2000,AL,Alabama,1,South,East South Central,2941558,1500826,1440732,26406,1826,24580
1999,AL,Alabama,1,South,East South Central,2925419,1493689,1431730,24658,1668,22990
1998,AL,Alabama,1,South,East South Central,2908312,1485878,1422434,22676,1461,21215
1997,AL,Alabama,1,South,East South Central,2872591,1468350,1404241,22290,1360,20930
1996,AL,Alabama,1,South,East South Central,2849238,1457288,1391950,21760,1357,20403
1995,AL,Alabama,1,South,East South Central,2819965,1443055,1376910,20718,1295,19423
1994,AL,Alabama,1,South,East South Central,2798293,1432867,1365426,19573,1214,18359
1993,AL,Alabama,1,South,East South Central,2766224,1417144,1349080,18624,1131,17493
1992,AL,Alabama,1,South,East South Central,2725165,1397512,1327653,17453,1101,16352
1991,AL,Alabama,1,South,East South Central,2688507,1381024,1307483,16760,1055,15705
1990,AL,Alabama,1,South,East South Central,2658904,1366688,1292216,15665,955,14710
1989,AL,Alabama,1,South,East South Central,2632851,1353117,1279734,13907,845,13062
1988,AL,Alabama,1,South,East South Central,2633701,1353617,1280084,12610,752,11858
1987,AL,Alabama,1,South,East South Central,2630147,1352492,1277655,12827,732,12095
1986,AL,Alabama,1,South,East South Central,2612164,1343989,1268175,11710,616,11094
1985,AL,Alabama,1,South,East South Central,2594439,1335823,1258616,11015,562,10453
1984,AL,Alabama,1,South,East South Central,2576147,1326230,1249917,10482,521,9961
1983,AL,Alabama,1,South,East South Central,2558811,1317930,1240881,9856,481,9375
1982,AL,Alabama,1,South,East South Central,2549519,1314804,1234715,9233,476,8757
1981,AL,Alabama,1,South,East South Central,2540392,1310082,1230310,7657,318,7339
1980,AL,Alabama,1,South,East South Central,2520949,1300561,1220388,6543,265,6278
1979,AL,Alabama,1,South,East South Central,2494504,1288429,1206075,5464,243,5221
1978,AL,Alabama,1,South,East South Central,2462626,1272965,1189661,5625,257,5368
1977,AL,Alabama,1,South,East South Central,2417448,1249467,1167981,3472,,
1976,AL,Alabama,1,South,East South Central,2374832,1228325,1146507,3032,,
1975,AL,Alabama,1,South,East South Central,2318881,1199501,1119380,4420,,
1974,AL,Alabama,1,South,East South Central,2270908,1175014,1095894,3936,,
1973,AL,Alabama,1,South,East South Central,2225575,1152208,1073367,3693,,
1972,AL,Alabama,1,South,East South Central,2184555,1131608,1052947,3632,,
1971,AL,Alabama,1,South,East South Central,2143438,1112499,1030939,3823,,
1970,AL,Alabama,1,South,East South Central,2108268,1095993,1012275,3790,,
1969,AL,Alabama,1,South,East South Central,2073101,1079489,993612,4140,,
1968,AL,Alabama,1,South,East South Central,,,,4017,,
1967,AL,Alabama,1,South,East South Central,,,,3881,,
1966,AL,Alabama,1,South,East South Central,,,,4056,,
1965,AL,Alabama,1,South,East South Central,,,,4377,,
1964,AL,Alabama,1,South,East South Central,,,,4586,,
1963,AL,Alabama,1,South,East South Central,,,,5083,,
1962,AL,Alabama,1,South,East South Central,,,,5512,,
1961,AL,Alabama,1,South,East South Central,,,,5540,,
1960,AL,Alabama,1,South,East South Central,,,,5369,,
1955,AL,Alabama,1,South,East South Central,,,,5222,,
1950,AL,Alabama,1,South,East South Central,,,,4454,,
2024,AR,Arkansas,5,South,West South Central,1930925,961856,969069,18806,,
2023,AR,Arkansas,5,South,West South Central,1930925,961856,969069,18312,,
2022,AR,Arkansas,5,South,West South Central,1930925,961856,969069,17625,1409,16216
2021,AR,Arkansas,5,South,West South Central,1923291,957886,965405,17022,1430,15592
2020,AR,Arkansas,5,South,West South Central,1915627,954072,961555,16094,1313,14781
2019,AR,Arkansas,5,South,West South Central,1914416,954186,960230,17759,1571,16188
2018,AR,Arkansas,5,South,West South Central,1916640,956321,960319,17799,1403,16396
2017,AR,Arkansas,5,South,West South Central,1918770,958152,960618,18070,1419,16651
2016,AR,Arkansas,5,South,West South Central,1918010,958743,959267,17537,1376,16161
2015,AR,Arkansas,5,South,West South Central,1916182,959193,956989,17707,1402,16305
2014,AR,Arkansas,5,South,West South Central,1914584,959696,954888,17874,1398,16476
2013,AR,Arkansas,5,South,West South Central,1916325,961676,954649,17235,1331,15904
2012,AR,Arkansas,5,South,West South Central,1917519,962807,954712,14654,1060,13594
2011,AR,Arkansas,5,South,West South Central,1920198,964777,955421,16108,1113,14995
2010,AR,Arkansas,5,South,West South Central,1908093,959706,948387,16204,1164,15040
2009,AR,Arkansas,5,South,West South Central,1893227,952757,940470,15208,1061,14147
2008,AR,Arkansas,5,South,West South Central,1882525,946843,935682,14716,1060,13656
2007,AR,Arkansas,5,South,West South Central,1869842,940464,929378,14314,1066,13248
2006,AR,Arkansas,5,South,West South Central,1853613,932420,921193,13729,1042,12687
2005,AR,Arkansas,5,South,West South Central,1826748,918868,907880,13511,1144,12367
2004,AR,Arkansas,5,South,West South Central,1804087,907118,896969,13807,962,12845
2003,AR,Arkansas,5,South,West South Central,1784818,897686,887132,13315,866,12449
2002,AR,Arkansas,5,South,West South Central,1769477,890619,878858,13091,854,12237
2001,AR,Arkansas,5,South,West South Central,1755983,884057,871926,12594,851,11743
2000,AR,Arkansas,5,South,West South Central,1742784,877594,865190,11915,772,11143
1999,AR,Arkansas,5,South,West South Central,1716981,866040,850941,11415,788,10627
1998,AR,Arkansas,5,South,West South Central,1692258,854920,837338,10638,696,9942
1997,AR,Arkansas,5,South,West South Central,1671349,845706,825643,10021,611,9410
1996,AR,Arkansas,5,South,West South Central,1644813,833502,811311,9407,548,8859
1995,AR,Arkansas,5,South,West South Central,1616645,820720,795925,8910,523,8387
1994,AR,Arkansas,5,South,West South Central,1588702,807830,780872,8957,569,8388
1993,AR,Arkansas,5,South,West South Central,1560607,794645,765962,8625,495,8130
1992,AR,Arkansas,5,South,West South Central,1527266,778227,749039,8285,464,7821
1991,AR,Arkansas,5,South,West South Central,1507999,769338,738661,7766,437,7329
1990,AR,Arkansas,5,South,West South Central,1491112,762145,728967,7322,435,6887
1989,AR,Arkansas,5,South,West South Central,1481925,758265,723660,6649,443,6206
1988,AR,Arkansas,5,South,West South Central,1483046,759409,723637,5519,295,5224
1987,AR,Arkansas,5,South,West South Central,1486151,761190,724961,5441,262,5179
1986,AR,Arkansas,5,South,West South Central,1478617,758005,720612,4701,224,4477
1985,AR,Arkansas,5,South,West South Central,1470957,754694,716263,4611,217,4394
1984,AR,Arkansas,5,South,West South Central,1465528,752580,712948,4482,196,4286
1983,AR,Arkansas,5,South,West South Central,1453181,746877,706304,4246,196,4050
1982,AR,Arkansas,5,South,West South Central,1443323,742489,700834,3922,167,3755
1981,AR,Arkansas,5,South,West South Central,1440552,741674,698878,3328,131,3197
1980,AR,Arkansas,5,South,West South Central,1434893,738953,695940,2911,106,2805
1979,AR,Arkansas,5,South,West South Central,1419624,730904,688720,3042,115,2927
1978,AR,Arkansas,5,South,West South Central,1397444,719413,678031,2654,101,2553
1977,AR,Arkansas,5,South,West South Central,1369823,704844,664979,2466,,
1976,AR,Arkansas,5,South,West South Central,1338658,688602,650056,2431,,
1975,AR,Arkansas,5,South,West South Central,1324158,681158,643000,2162,,
1974,AR,Arkansas,5,South,West South Central,1280296,659058,621238,2074,,
1973,AR,Arkansas,5,South,West South Central,1247025,642528,604497,1679,,
1972,AR,Arkansas,5,South,West South Central,1215162,626862,588300,1619,,
1971,AR,Arkansas,5,South,West South Central,1179671,610080,569591,1658,,
1970,AR,Arkansas,5,South,West South Central,1152055,597426,554629,1656.25,,
1969,AR,Arkansas,5,South,West South Central,1124481,584792,539689,1654.5,,
1968,AR,Arkansas,5,South,West South Central,,,,1652.75,,
1967,AR,Arkansas,5,South,West South Central,,,,1651,,
1966,AR,Arkansas,5,South,West South Central,,,,1864,,
1965,AR,Arkansas,5,South,West South Central,,,,1970,,
1964,AR,Arkansas,5,South,West South Central,,,,1992,,
1963,AR,Arkansas,5,South,West South Central,,,,2000,,
1962,AR,Arkansas,5,South,West South Central,,,,2066,,
1961,AR,Arkansas,5,South,West South Central,,,,2076,,
1960,AR,Arkansas,5,South,West South Central,,,,2016,,
1955,AR,Arkansas,5,South,West South Central,,,,1751,,
1950,AR,Arkansas,5,South,West South Central,,,,1541,,
2024,AZ,Arizona,4,West,Mountain,4680297,2299643,2380654,34787,,
2023,AZ,Arizona,4,West,Mountain,4680297,2299643,2380654,34275,,
2022,AZ,Arizona,4,West,Mountain,4680297,2299643,2380654,33865,3117,30748
2021,AZ,Arizona,4,West,Mountain,4616252,2267319,2348933,33914,3120,30794
2020,AZ,Arizona,4,West,Mountain,4562665,2240632,2322033,37794,3658,34136
2019,AZ,Arizona,4,West,Mountain,4500120,2212159,2287961,42441,4406,38035
2018,AZ,Arizona,4,West,Mountain,4444103,2187807,2256296,42005,4185,37820
2017,AZ,Arizona,4,West,Mountain,4395093,2167533,2227560,42030,4059,37971
2016,AZ,Arizona,4,West,Mountain,4356330,2151745,2204585,42320,3997,38323
2015,AZ,Arizona,4,West,Mountain,4308901,2131532,2177369,42719,3981,38738
2014,AZ,Arizona,4,West,Mountain,4270327,2116342,2153985,42259,3964,38295
2013,AZ,Arizona,4,West,Mountain,4234171,2101569,2132602,41177,3775,37402
2012,AZ,Arizona,4,West,Mountain,4212527,2092494,2120033,40080,3633,36447
2011,AZ,Arizona,4,West,Mountain,4192242,2085348,2106894,40020,3550,36470
2010,AZ,Arizona,4,West,Mountain,4159732,2073400,2086332,40209,3688,36521
2009,AZ,Arizona,4,West,Mountain,4126329,2056558,2069771,40544,3776,36768
2008,AZ,Arizona,4,West,Mountain,4091515,2036182,2055333,39502,3763,35739
2007,AZ,Arizona,4,West,Mountain,4027875,2002930,2024945,37746,3460,34286
2006,AZ,Arizona,4,West,Mountain,3938891,1957963,1980928,35801,3151,32650
2005,AZ,Arizona,4,West,Mountain,3808316,1892173,1916143,33471,2896,30575
2004,AZ,Arizona,4,West,Mountain,3680337,1827022,1853315,32515,2765,29750
2003,AZ,Arizona,4,West,Mountain,3581528,1776893,1804635,31170,2656,28514
2002,AZ,Arizona,4,West,Mountain,3503369,1734527,1768842,29359,2428,26931
2001,AZ,Arizona,4,West,Mountain,3415218,1689133,1726085,27710,2168,25542
2000,AZ,Arizona,4,West,Mountain,3333896,1647633,1686263,26510,1964,24546
1999,AZ,Arizona,4,West,Mountain,3243235,1604144,1639091,25986,1855,24131
1998,AZ,Arizona,4,West,Mountain,3153074,1561318,1591756,25515,1797,23718
1997,AZ,Arizona,4,West,Mountain,3065234,1518861,1546373,23484,1560,21924
1996,AZ,Arizona,4,West,Mountain,2946059,1461228,1484831,22493,1515,20978
1995,AZ,Arizona,4,West,Mountain,2844279,1412087,1432192,21341,1432,19909
1994,AZ,Arizona,4,West,Mountain,2720529,1352248,1368281,19746,1273,18473
1993,AZ,Arizona,4,West,Mountain,2582797,1285540,1297257,17811,1037,16774
1992,AZ,Arizona,4,West,Mountain,2490748,1240935,1249813,16477,1001,15476
1991,AZ,Arizona,4,West,Mountain,2408576,1201598,1206978,15415,939,14476
1990,AZ,Arizona,4,West,Mountain,2346608,1171700,1174908,14261,835,13426
1989,AZ,Arizona,4,West,Mountain,2334907,1166990,1167917,13251,780,12471
1988,AZ,Arizona,4,West,Mountain,2297704,1149861,1147843,12095,714,11381
1987,AZ,Arizona,4,West,Mountain,2240068,1122244,1117824,10948,609,10339
1986,AZ,Arizona,4,West,Mountain,2161887,1084121,1077766,9434,486,8948
1985,AZ,Arizona,4,West,Mountain,2073918,1041583,1032335,8531,397,8134
1984,AZ,Arizona,4,West,Mountain,1998134,1003940,994194,7845,363,7482
1983,AZ,Arizona,4,West,Mountain,1935507,973385,962122,6889,323,6566
1982,AZ,Arizona,4,West,Mountain,1885809,950415,935394,6069,281,5788
1981,AZ,Arizona,4,West,Mountain,1832006,924287,907719,5223,237,4986
1980,AZ,Arizona,4,West,Mountain,1779345,898869,880476,4372,219,4153
1979,AZ,Arizona,4,West,Mountain,1710138,863992,846146,3749,176,3573
1978,AZ,Arizona,4,West,Mountain,1623444,820073,803371,3456,181,3275
1977,AZ,Arizona,4,West,Mountain,1557926,787259,770667,2982,,
1976,AZ,Arizona,4,West,Mountain,1498469,756871,741598,2850,,
1975,AZ,Arizona,4,West,Mountain,1446712,731118,715594,2647,,
1974,AZ,Arizona,4,West,Mountain,1400196,708206,691990,2101,,
1973,AZ,Arizona,4,West,Mountain,1326784,671951,654833,1691,,
1972,AZ,Arizona,4,West,Mountain,1241228,630021,611207,1529,,
1971,AZ,Arizona,4,West,Mountain,1159152,590455,568697,1401,,
1970,AZ,Arizona,4,West,Mountain,1091853,558604,533249,1461,,
1969,AZ,Arizona,4,West,Mountain,1024554,526753,497801,1714,,
1968,AZ,Arizona,4,West,Mountain,,,,1692,,
1967,AZ,Arizona,4,West,Mountain,,,,1596,,
1966,AZ,Arizona,4,West,Mountain,,,,1627,,
1965,AZ,Arizona,4,West,Mountain,,,,1694,,
1964,AZ,Arizona,4,West,Mountain,,,,1627,,
1963,AZ,Arizona,4,West,Mountain,,,,1728,,
1962,AZ,Arizona,4,West,Mountain,,,,1679,,
1961,AZ,Arizona,4,West,Mountain,,,,1592,,
1960,AZ,Arizona,4,West,Mountain,,,,1516,,
1955,AZ,Arizona,4,West,Mountain,,,,1055,,
1950,AZ,Arizona,4,West,Mountain,,,,878,,
2024,CA,California,6,West,Pacific,25911538,12702297,13209241,94717,,
2023,CA,California,6,West,Pacific,25911538,12702297,13209241,96889,,
2022,CA,California,6,West,Pacific,25911538,12702297,13209241,97608,3732,93876
2021,CA,California,6,West,Pacific,26020680,12749711,13270969,101441,3916,97525
2020,CA,California,6,West,Pacific,26347029,12908653,13438376,100396,3767,96629
2019,CA,California,6,West,Pacific,26447533,12971218,13476315,122687,5568,117119
2018,CA,California,6,West,Pacific,26512430,13024444,13487986,128625,5778,122847
2017,CA,California,6,West,Pacific,26501551,13042436,13459115,131039,5859,125180
2016,CA,California,6,West,Pacific,26434882,13033688,13401194,130084,5886,124198
2015,CA,California,6,West,Pacific,26315841,12996069,13319772,129593,5785,123808
2014,CA,California,6,West,Pacific,26150768,12936879,13213889,136085,6382,129703
2013,CA,California,6,West,Pacific,25976191,12870788,13105403,135981,6297,129684
2012,CA,California,6,West,Pacific,25815162,12803927,13011235,134534,6098,128436
2011,CA,California,6,West,Pacific,25664489,12744038,12920451,149569,8187,141382
2010,CA,California,6,West,Pacific,25432982,12634698,12798284,165062,9958,155104
2009,CA,California,6,West,Pacific,25179917,12501542,12678375,171275,10989,160286
2008,CA,California,6,West,Pacific,24922139,12366572,12555567,173670,11620,162050
2007,CA,California,6,West,Pacific,24677623,12240482,12437141,174282,11628,162654
2006,CA,California,6,West,Pacific,24466149,12132454,12333695,175512,11977,163535
2005,CA,California,6,West,Pacific,24231077,12010387,12220690,170676,11667,159009
2004,CA,California,6,West,Pacific,23964333,11879798,12084535,166556,11188,155368
2003,CA,California,6,West,Pacific,23659656,11725266,11934390,164487,10656,153831
2002,CA,California,6,West,Pacific,23340718,11544865,11795853,161361,9987,151374
2001,CA,California,6,West,Pacific,22998513,11365639,11632874,159444,9921,149523
2000,CA,California,6,West,Pacific,22583586,11158950,11424636,163001,11161,151840
1999,CA,California,6,West,Pacific,22179372,10956224,11223148,163067,11368,151699
1998,CA,California,6,West,Pacific,21732590,10727401,11005189,161904,11694,150210
1997,CA,California,6,West,Pacific,21257860,10481461,10776399,155790,10914,144876
1996,CA,California,6,West,Pacific,20833180,10259264,10573916,146049,10107,135942
1995,CA,California,6,West,Pacific,20662626,10163967,10498659,135646,9082,126564
1994,CA,California,6,West,Pacific,20594666,10119704,10474962,126091,8245,117846
1993,CA,California,6,West,Pacific,20557929,10085145,10472784,119951,7581,112370
1992,CA,California,6,West,Pacific,20490179,10040969,10449210,109496,6747,102749
1991,CA,California,6,West,Pacific,20202598,9893992,10308606,101808,6302,95506
1990,CA,California,6,West,Pacific,20018219,9798743,10219476,97309,6502,90807
1989,CA,California,6,West,Pacific,19703344,9652926,10050418,87297,6000,81297
1988,CA,California,6,West,Pacific,19249511,9449082,9800429,76171,4893,71278
1987,CA,California,6,West,Pacific,18827743,9257674,9570069,66975,4152,62823
1986,CA,California,6,West,Pacific,18417657,9073850,9343807,59484,3564,55920
1985,CA,California,6,West,Pacific,17974995,8876057,9098938,50158,2910,47248
1984,CA,California,6,West,Pacific,17566172,8693991,8872181,43197,2305,40892
1983,CA,California,6,West,Pacific,17238803,8553948,8684855,39373,2020,37353
1982,CA,California,6,West,Pacific,16898759,8402136,8496623,34640,1653,32987
1981,CA,California,6,West,Pacific,16548246,8249024,8299222,29202,1427,27775
1980,CA,California,6,West,Pacific,16189769,8088581,8101188,24569,1316,23253
1979,CA,California,6,West,Pacific,15774267,7886903,7887364,22632,1232,21400
1978,CA,California,6,West,Pacific,15421016,7714063,7706953,21325,1147,20178
1977,CA,California,6,West,Pacific,15003267,7506922,7496345,19623,,
1976,CA,California,6,West,Pacific,14629795,7324020,7305775,18113,,
1975,CA,California,6,West,Pacific,14245002,7133855,7111147,17296,,
1974,CA,California,6,West,Pacific,13892864,6962288,6930576,21897,,
1973,CA,California,6,West,Pacific,13573423,6809189,6764234,19794,,
1972,CA,California,6,West,Pacific,13265694,6657973,6607721,16970,,
1971,CA,California,6,West,Pacific,12995517,6534758,6460759,17474,,
1970,CA,California,6,West,Pacific,12717245,6407006,6310239,25033,,
1969,CA,California,6,West,Pacific,12438981,6279260,6159721,27535,,
1968,CA,California,6,West,Pacific,,,,28435,,
1967,CA,California,6,West,Pacific,,,,27741,,
1966,CA,California,6,West,Pacific,,,,27467,,
1965,CA,California,6,West,Pacific,,,,26325,,
1964,CA,California,6,West,Pacific,,,,26483,,
1963,CA,California,6,West,Pacific,,,,26133,,
1962,CA,California,6,West,Pacific,,,,24032,,
1961,CA,California,6,West,Pacific,,,,23927,,
1960,CA,California,6,West,Pacific,,,,21660,,
1955,CA,California,6,West,Pacific,,,,15230,,
1950,CA,California,6,West,Pacific,,,,11056,,
2024,CO,Colorado,8,West,Mountain,3931755,1897324,2034431,17376,,
2023,CO,Colorado,8,West,Mountain,3931755,1897324,2034431,17143,,
2022,CO,Colorado,8,West,Mountain,3931755,1897324,2034431,17168,1402,15766
2021,CO,Colorado,8,West,Mountain,3915176,1890486,2024690,15865,1266,14599
2020,CO,Colorado,8,West,Mountain,3903922,1885895,2018027,16259,1311,14948
2019,CO,Colorado,8,West,Mountain,3877220,1875093,2002127,19785,1919,17866
2018,CO,Colorado,8,West,Mountain,3841477,1862704,1978773,20372,2025,18347
2017,CO,Colorado,8,West,Mountain,3794758,1843426,1951332,19946,1902,18044
2016,CO,Colorado,8,West,Mountain,3752681,1827395,1925286,19981,1903,18078
2015,CO,Colorado,8,West,Mountain,3696203,1804309,1891894,20041,1842,18199
2014,CO,Colorado,8,West,Mountain,3632009,1778055,1853954,20646,1908,18738
2013,CO,Colorado,8,West,Mountain,3586637,1760677,1825960,20371,1815,18556
2012,CO,Colorado,8,West,Mountain,3545702,1743519,1802183,20462,1723,18739
2011,CO,Colorado,8,West,Mountain,3513536,1729633,1783903,21978,2021,19957
2010,CO,Colorado,8,West,Mountain,3466220,1707522,1758698,22815,2052,20763
2009,CO,Colorado,8,West,Mountain,3422229,1686667,1735562,22795,2101,20694
2008,CO,Colorado,8,West,Mountain,3374889,1662023,1712866,23274,2294,20980
2007,CO,Colorado,8,West,Mountain,3322773,1635815,1686958,22841,2335,20506
2006,CO,Colorado,8,West,Mountain,3269929,1607545,1662384,22481,2302,20179
2005,CO,Colorado,8,West,Mountain,3211851,1578585,1633266,21456,2120,19336
2004,CO,Colorado,8,West,Mountain,3172622,1553914,1618708,20293,1900,18393
2003,CO,Colorado,8,West,Mountain,3137874,1538545,1599329,19671,1736,17935
2002,CO,Colorado,8,West,Mountain,3112908,1520501,1592407,18833,1566,17267
2001,CO,Colorado,8,West,Mountain,3062477,1494436,1568041,17448,1375,16073
2000,CO,Colorado,8,West,Mountain,2986847,1458067,1528780,16833,1333,15500
1999,CO,Colorado,8,West,Mountain,2912709,1424826,1487883,15670,1213,14457
1998,CO,Colorado,8,West,Mountain,2830310,1387243,1443067,14312,1070,13242
1997,CO,Colorado,8,West,Mountain,2763200,1357354,1405846,13461,949,12512
1996,CO,Colorado,8,West,Mountain,2691302,1324375,1366927,12438,845,11593
1995,CO,Colorado,8,West,Mountain,2619960,1290880,1329080,11063,713,10350
1994,CO,Colorado,8,West,Mountain,2536829,1252059,1284770,10717,670,10047
1993,CO,Colorado,8,West,Mountain,2448551,1210076,1238475,9462,542,8920
1992,CO,Colorado,8,West,Mountain,2357996,1167294,1190702,8997,527,8470
1991,CO,Colorado,8,West,Mountain,2281774,1132999,1148775,8392,453,7939
1990,CO,Colorado,8,West,Mountain,2224738,1107473,1117265,7671,433,7238
1989,CO,Colorado,8,West,Mountain,2218841,1104486,1114355,6908,395,6513
1988,CO,Colorado,8,West,Mountain,2218468,1103726,1114742,5765,277,5488
1987,CO,Colorado,8,West,Mountain,2227602,1108148,1119454,4808,243,4565
1986,CO,Colorado,8,West,Mountain,2223347,1106159,1117188,3804,177,3627
1985,CO,Colorado,8,West,Mountain,2207013,1098318,1108695,3386,148,3238
