Complaint_ID,Tax_ID,Board_Discipline_Recommendation,Officer_is_APU,Officer_Penalty
200400443,898050,,No,Instructions
202200401,960407,Substantiated (Command Discipline A),No,Command Discipline - A
202311383,961711,Substantiated (Command Discipline A),No,Command Discipline - A
202204101,937246,Substantiated (Command Discipline A),No,Command Discipline - A
202101666,930285,Substantiated (Command Discipline B),No,No penalty
202107669,969233,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 1 day)
201017490,935920,,No,
202102041,947364,Substantiated (Charges),Yes,APU - Decision Pending
201402708,932779,,No,Instructions
202003945,933689,Substantiated (Charges),Yes,
202301937,968158,Substantiated (Command Discipline B),No,No penalty
202006197,964169,Substantiated (Command Discipline B),No,No penalty
201506161,936497,,No,Formalized Training
202401939,952946,Substantiated (Charges),Yes,APU - Decision Pending
201108046,949214,,No,Instructions
202206015,937868,Substantiated (Charges),Yes,Forfeit vacation 10 days / Command Discipline B
202306884,968535,Substantiated (Command Discipline A),No,No penalty
201503947,952086,,No,Command Level Instructions
201411074,951228,,Yes,Forfeit vacation 8 days
200915956,942165,,No,Vacation: 30 days
202103105,950021,Substantiated (Charges),Yes,Forfeit vacation 5 days / Command Discipline A
202102554,951689,Substantiated (Charges),Yes,Forfeit vacation 3 days / Command Discipline A
201902684,927805,,No,Instructions
202310494,961961,Substantiated (Command Discipline A),No,Closed Administratively (Command Discipline - A)
201408513,917037,,No,Formalized Training
200309539,898963,,No,Instructions
202400546,930874,Substantiated (Charges),Yes,APU - Decision Pending
202100012,955086,Substantiated (Command Discipline B),No,No penalty
200817109,929981,,No,Instructions
201803511,941307,,No,No penalty
200500448,877827,,No,Command Discipline - A
200614807,938616,,No,
202309668,968108,Substantiated (Charges),Yes,APU - Decision Pending
202308478,969830,Substantiated (Command Discipline A),No,Command Discipline - A
202200517,970001,Substantiated (Command Discipline A),No,No penalty
201907149,951487,Substantiated (Charges),Yes,Forfeit vacation 2 days / Command Discipline A
201904264,951823,,No,Instructions
201209521,949713,,Yes,Instructions
202401119,975858,Substantiated (Charges),Yes,APU - Decision Pending
202000071,950110,Substantiated (Charges),Yes,Forfeit vacation 5 days
202302007,969337,Substantiated (Command Discipline A),No,No penalty
202303989,966789,Substantiated (Formalized Training),No,No penalty
202307260,962512,Substantiated (Command Discipline A),No,
202310708,952653,Substantiated (Charges),Yes,APU - Decision Pending
200711755,902649,,No,No penalty
202003187,959212,Substantiated (Command Discipline A),No,No penalty
200101798,891781,,No,
202311494,964963,Substantiated (Charges),Yes,APU - Decision Pending
200613980,907377,,No,Instructions
202401134,973607,Substantiated (Command Discipline A),No,Command Discipline - A
202101926,966954,Substantiated (Charges),Yes,Forfeit vacation 3 days
201907401,958300,Substantiated (Formalized Training),No,Formalized Training
201301368,933599,,No,No penalty
200108274,895274,,No,No penalty
202307887,962217,Substantiated (Command Discipline A),No,No penalty
201904359,959868,,Yes,Formalized Training
202310071,968390,Substantiated (Command Discipline A),No,Command Discipline - A
201500486,920400,,No,Command Level Instructions
202304472,967022,Substantiated (Command Discipline A),No,No penalty
202001092,929012,Substantiated (Command Discipline A),No,Retired
202306688,944116,Substantiated (Formalized Training),No,Formalized Training
202402505,971457,Substantiated (Formalized Training),No,
202307817,951056,Substantiated (Formalized Training),No,Formalized Training
202306878,972853,Substantiated (Formalized Training),No,No penalty
201504961,929704,,Yes,Forfeit vacation 10 days
202207747,963983,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 1 day)
201205719,930033,,Yes,No penalty
202102720,959368,Substantiated (Charges),Yes,
200717516,919712,,No,Command Discipline - B
202308249,963326,Substantiated (Formalized Training),No,Formalized Training
200309812,898408,,No,Instructions
201810259,964721,,No,Instructions
201406577,941855,,No,
202103998,967667,Substantiated (Command Discipline B),No,No penalty
202303898,965253,Substantiated (Charges),Yes,APU - Decision Pending
200701380,906018,,No,No penalty
200510647,926634,,No,Instructions
202306215,948462,Substantiated (Charges),Yes,APU - Decision Pending
202405346,964160,Substantiated (Command Discipline B),No,
202307868,948236,Substantiated (Command Discipline A),No,No penalty
202106300,960033,Substantiated (Charges),Yes,
202006901,963224,Substantiated (Command Discipline A),No,No penalty
202102843,963376,Substantiated (Command Discipline A),No,Command Discipline - A
201906886,943685,Substantiated (Charges),Yes,APU - Decision Pending
202104737,953767,Substantiated (Command Discipline A),No,No penalty
202104497,954800,Substantiated (Charges),Yes,
201214106,935153,,Yes,
202203915,967965,Substantiated (Command Discipline A),No,Command Discipline - A
202300794,937379,Substantiated (Command Discipline A),No,No penalty
201907149,954964,Substantiated (Charges),Yes,Forfeit vacation 3 days / Command Discipline A
202104017,945429,Substantiated (Charges),Yes,APU - Decision Pending
201608992,955377,,No,Command Discipline - A
201112309,919044,,No,No penalty
202005916,961670,Substantiated (Charges),Yes,Forfeit vacation 10 days
201010902,924817,,No,Vacation: 35 days
202208611,957168,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 1 day)
200910763,945229,,No,Instructions
200205559,915425,,No,Command Discipline - A
201904365,963833,,No,Instructions
201508108,950132,,No,Formalized Training
200403680,928315,,No,Instructions
202106630,949876,Substantiated (Command Discipline B),No,No penalty
201403417,948659,,No,No penalty
202007121,935486,,No,Instructions
201808025,940069,,No,Formalized Training
200902907,945549,,No,No penalty
202201115,964910,Substantiated (Command Discipline A),No,Command Discipline - A
200004999,904658,,No,
200101092,879733,,No,
201702922,950150,,No,Instructions
201908261,963537,Substantiated (Formalized Training),No,
202207020,954894,Substantiated (Command Discipline A),No,No penalty
202308387,943675,Substantiated (Charges),Yes,APU - Decision Pending
202304986,963564,Substantiated (Charges),Yes,APU - Decision Pending
202100330,966239,Substantiated (Charges),Yes,Formalized Training
202405599,977602,Substantiated (Command Discipline A),No,
201910363,949478,Substantiated (Charges),Yes,APU - Decision Pending
202310894,958691,Substantiated (Charges),Yes,APU - Decision Pending
202303046,970264,Substantiated (Command Discipline A),No,No penalty
201403955,931085,,No,Command Discipline - A
202003817,963522,,No,Resigned
200902183,934328,,No,Command Discipline - B
202000485,965787,Substantiated (Command Discipline A),No,No penalty
202006881,963410,Substantiated (Charges),Yes,
202309166,967037,Substantiated (Formalized Training),No,Formalized Training
202308498,961909,Substantiated (Charges),Yes,APU - Decision Pending
202007383,959879,Substantiated (Command Discipline A),No,No penalty
201701637,931851,,No,Command Discipline - A
202401140,941926,Substantiated (Command Discipline A),No,Command Discipline - A
200900497,939774,,No,Command Discipline - B
202301999,970328,Substantiated (Formalized Training),No,Formalized Training
201201037,949543,,No,Instructions
202200401,951998,Substantiated (Command Discipline B),No,Command Discipline - B (Vacation: 2 days)
200207635,886101,,No,Command Discipline - B
200614756,936991,,No,Command Discipline - A
202002178,933345,Substantiated (Charges),Yes,
201901162,948950,,No,Formalized Training
202301047,959170,Substantiated (Formalized Training),No,Formalized Training
202103712,967213,Substantiated (Command Discipline B),No,No penalty
201907968,940676,,No,Formalized Training
201112737,901056,,No,No penalty
202208146,965048,Substantiated (Command Discipline A),No,Command Discipline - A
201504855,921596,,No,Command Level Instructions
201801809,919641,,No,Formalized Training
200411089,930988,,No,Instructions
200203275,901709,,No,Command Discipline - A
200307702,909174,,No,Instructions
201407434,941696,,Yes,Terminated
202105775,965937,Substantiated (Command Discipline A),No,Resigned
200806248,928322,,No,Instructions
202003492,961437,Substantiated (Command Discipline A),No,No penalty
200609747,905969,,No,No penalty
202405387,950897,Substantiated (Command Discipline B),No,
201400110,939842,,Yes,Forfeit vacation 10 days
202306590,968752,Substantiated (Command Discipline A),No,No penalty
200809039,915995,,No,Command Discipline - B
202403183,948973,Substantiated (Formalized Training),No,
202408038,968845,Substantiated (Command Discipline A),No,
201212775,948376,,No,Command Discipline - A
202304081,955499,Substantiated (Charges),Yes,APU - Decision Pending
202200908,968340,Substantiated (Command Discipline A),No,No penalty
202107121,955770,Substantiated (Charges),Yes,APU - Decision Pending
200409854,929080,,No,Instructions
202200449,960756,Substantiated (Command Discipline B),No,Command Discipline - B (Vacation: 1 day)
202203691,966226,Substantiated (Formalized Training),No,Formalized Training
202104647,965787,Substantiated (Charges),Yes,Forfeit vacation 10 days / Command Discipline B
202307322,966973,Substantiated (Formalized Training),No,Formalized Training
202107626,941392,Substantiated (Charges),Yes,APU - Decision Pending
201409443,931925,,Yes,
200912522,928017,,No,No penalty
201106595,897499,,No,No penalty
201501548,936393,,Yes,
201600170,945098,,No,Formalized Training
202000291,962470,Substantiated (Command Discipline A),No,Command Discipline - A
201400405,929921,,No,Instructions
201301847,918555,,Yes,No penalty
202302018,959020,Substantiated (Charges),Yes,APU - Decision Pending
200615342,924714,,No,No penalty
200704569,899278,,No,Command Discipline - A
202107599,963983,Substantiated (Formalized Training),No,Formalized Training
201904870,962864,Substantiated (Charges),Yes,APU - Decision Pending
200512650,896312,,No,Command Discipline - A
201806244,958652,,No,Command Discipline - A
202308207,975256,Substantiated (Command Discipline A),No,No penalty
202306570,968103,Substantiated (Charges),Yes,APU - Decision Pending
202305551,967418,Substantiated (Formalized Training),No,
200308427,930504,,No,Instructions
200906048,942855,,No,No penalty
201306001,936303,,Yes,
202403835,969231,Substantiated (Command Discipline A),No,
201507511,942662,,No,No penalty
200913209,940534,,No,Command Discipline - B
202302011,947309,Substantiated (Charges),Yes,APU - Decision Pending
201407529,940464,,No,Formalized Training
202106877,969793,Substantiated (Formalized Training),No,Formalized Training
202005679,966937,Substantiated (Command Discipline A),No,Command Discipline - A
201605457,934643,,No,Command Discipline - A
201011553,914384,,No,Instructions
201609147,943759,,No,Formalized Training
202006168,966929,Substantiated (Command Discipline B),No,
201603962,956883,,No,Command Discipline - A
202308559,973016,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 0.25 days)
202401688,945105,Substantiated (Command Discipline B),Yes,APU - Decision Pending
201702768,955381,,No,Instructions
201311018,950173,,Yes,Forfeit vacation 5 days
202206493,962940,Substantiated (Charges),Yes,APU - Decision Pending
202208481,964483,Substantiated (Command Discipline B),No,No penalty
201805526,933550,,Yes,Forfeit vacation 5 days
200302054,927853,,No,Command Discipline - A
202002487,949175,Substantiated (Charges),Yes,Forfeit vacation 1 days
200305430,924743,,No,Instructions
200207381,913219,,No,Command Discipline - A
201013036,937792,,No,Vacation: 10 days
200007022,894329,,No,
201213751,940519,,No,Command Discipline - A
201007008,943860,,No,Instructions
202309963,958416,Substantiated (Command Discipline A),No,Command Discipline - A
202104598,942474,Substantiated (Charges),Yes,Forfeit vacation 33 days
201605673,933453,,No,No penalty
202103908,941862,Substantiated (Charges),Yes,
200402133,889573,,No,Command Discipline - A
200304205,914660,,No,Command Discipline - A
202403553,976848,Substantiated (Formalized Training),No,
201702181,955915,,No,No penalty
201009977,931572,,No,Instructions
202208483,964654,Substantiated (Command Discipline B),No,No penalty
202200038,966924,Substantiated (Command Discipline A),No,No penalty
202000861,956863,Substantiated (Command Discipline A),No,Command Discipline - A
201705401,926931,,No,Command Discipline - A
202306046,960934,Substantiated (Command Discipline A),No,No penalty
200403856,927253,,No,Command Discipline - A
202306591,963399,Substantiated (Command Discipline A),No,No penalty
200400732,916348,,No,Command Discipline - A
201706354,956547,,Yes,Forfeit vacation 2 days / Formalized Training
202002632,939816,Substantiated (Command Discipline B),No,No penalty
202202328,959262,Substantiated (Charges),Yes,
201305710,943948,,Yes,Command Discipline A / Formalized Training
202307695,950580,Substantiated (Formalized Training),No,Formalized Training
201904639,961216,,No,Instructions
202105314,962089,Substantiated (Command Discipline B),No,Command Discipline - B (Vacation: 5 days)
201213426,925940,,Yes,Forfeit vacation 5 days
201806934,951255,,No,Command Discipline - A
202301273,963647,Substantiated (Command Discipline A),No,No penalty
202102462,953396,Substantiated (Command Discipline A),No,
202002972,954887,Substantiated (Charges),Yes,Forfeit vacation 5 days / Command Discipline A
201412298,938118,,No,Formalized Training
201806548,937700,,No,Command Level Instructions
202205254,964421,Substantiated (Formalized Training),No,Formalized Training
202301006,971053,Substantiated (Formalized Training),No,Formalized Training
200006463,882000,,No,
201910975,955244,Substantiated (Command Discipline A),No,No penalty
202101069,959447,Substantiated (Charges),Yes,APU - Decision Pending
201508433,949461,,No,No penalty
201405620,951924,,No,Command Discipline - A
201804009,950414,,No,Formalized Training
200809256,903653,,No,Command Discipline - B
202401079,964741,Substantiated (Command Discipline A),No,Command Discipline - A (Vacation: 0.50 days)
200403477,922366,,No,Instructions
200814866,929031,,No,
201911001,965761,Substantiated (Charges),Yes,
201807212,911407,,No,No penalty
202309040,938920,Substantiated (Formalized Training),No,Formalized Training
201411074,942923,,Yes,Forfeit vacation 4 days
202404539,950077,Substantiated (Charges),Yes,APU - Decision Pending
202004071,968665,Substantiated (Command Discipline A),No,Command Discipline - A
201202292,882662,,No,No penalty
202001389,961081,Substantiated (Charges),Yes,APU - Decision Pending
200814702,931548,,No,Instructions
200703375,917233,,No,No penalty
201311364,944453,,No,Instructions
202008309,961874,Substantiated (Command Discipline B),No,Formalized Training
